,title,news
90,Woman killed in Kishoreganj road accident ,She was identified as Jasmin (22) wife of Md. Hafiz Mia of village Kamalerchar under Dewarngonj upazila in Jamalpur district.Police and locals said a track and private car collided Maddapar area under Kishoreganj-Bhairab regional highway on Saturday morning. The victim's Jasmin died on the spot. Katiadi Highway Police Outpost In-charge Md. Abdus Suban confirmed this. 
91,Woman killed in Chudanga road accident,"The deceased was identified as TohimaKhatun, 46, daughter of Fokir Mohammad of village Bathanpara in Gangniupazila of Meherpur district. The  injured person is Mohbbat Ali, 25, of village Nogorboalia in Alamdangaupazila of Chuadanga district and Alamsadhu driver. According to Hatboalia Police Outpost, she was going to Asmankhali riding on Alamshadu, an opposite direction truck hit on head of the Alamsadhu leaving her dead and another injured. On information police rushed to the spot and recovered the  body. No case was filed till filling the report."
92,RMG worker dies  in road accident,"The deceased was identified as Abdul Mannan, son of Motijharna Rafiq Driver of Lalkhan Bazar under Khulshi Police Station.Chittagong Medical College Hospital police outpost Amir Hossain said Al Amin was riding a bicycle to the gamers every day. He was hit by a bus coming from Natunbridge at the Tigerpass intersection. Although he died on the spot, the locals rescued him around 8 am and brought him to the emergency department of Chittagong Medical College Hospital. The doctor on duty at the emergency department later pronounced him dead."
93,Boy killed in Kishoreganj  road accident,"The deceased was identified as Md. Ashraful Mia (14) son of Md. Hiru Mia of village Asmita under Katiadi upazila in Kishoreanj district.Police and the  locals said  that Ashraful was going to Achmita Bazar with his father along  the Kishoreganj-Bhairab regional highway on Tuesday around 12 noon. At that time a speedy private car from Katiadi, crushed Ashraful from behind and he died on the spot. The victim's father was injured in the incident.Katiadi Highway Police Outpost in-charge Md. Abdus Suban confirmed this."
94,DC supports child who lost  mother in road accident,"Dr KM Kamruzzaman Selim went to Pariya Union in Baliadangi district and talked to his father on Saturday afternoon. At that time, the deputy commissioner advised his father to get Rahimullah to study. For Rahimullah's education, the deputy commissioner gave his father a cow, four goats and some financial help. He advised Rahimullah’s father to pay for his education with the money earned by raising these cows and goats.Additional Deputy Commissioner (Overall) Nur Qutbul Alam, Baliadangi Upazila Executive Officer Khairul Alam Sumon and others were present on the occasion. It may be mentioned that a three-wheeler carrying passengers from Baliadangi left Sonadanga Primary School on the way to Thakurgaon at around 9 pm on Tuesday, June 23. The three-wheeler twisted when it was hit by a truck coming from the opposite direction. Three-wheeler passengers Yaqub Ali and Rahimullah's mother Ranu Begum died in the incident. Later, rescue workers of the fire station admitted 3 injured people to Baliadangi Upazila Health Complex. Among the injured was Rahimullah."
95,Child killed in Kishoreganj road accident,"The victim was identified as Md. Bijoy (07) son of Md. Polash Mia of village Bhogpara under Katiadi upazila in Kishoreanj district.Police and locals said Bijoy left home on Saturday morning for fishing. Bijoy was hit while crossing the road on his way home after fishing by a speeding private car coming from Bhairab. Later, the locals rescued him and took him to Katiadi Upazila Health Complex. The doctor on duty declared him dead. Katiadi Highway Police Outpost In-charge Md. Abdus Suban confir med this."
96,5 killed in Mymensingh road accidents,"Nandail Highway Police Station Officer-in-Charge (OC) ManjurulHaque said,three people were killed as a truck ran over an autorikshaw in the Nandail Merenga Chakmati area.The deceased were identified as- Hanif Mia, 22, son of Faizul Mia of Singrail Union, Nayan Mia, son of Ramzan Ali of Kendua Upazila and Arif Mia, 25, son of Renu Mia. Police have recovered the bodies of the victims.On the other hand, two brothers were killed in a head-on collision between a covered-van and private car in Bhaluka upazila of Dhaka-Mymensingh highway, Bhaluka Highway Police SI Hadiul Islam confirmed the matter.The dead persons in Bhaluka upazila are MorshedTushar, 32, and his brother Jaber MorshedAkash, 30. They were sons of Monjur Morshed at Kalabanda village under Islampur upazila in Jamalpur district."
97,Man killed in Chuadanga road accident,"The deceased was identified as Abdul Malek, 50, son of Shamsul Hoque of village Sarabaria in Damurhuda upazila of the district. Mahbubur Rahman Kazol, OC of Damurhuda Police Station said Abdul Malek was going to Shialmari Poshu Hat driving his Alamshadhu, when he reached at the village and lost control of the vehicle due to blast of its wheel leaving him dead."
98,3 killed in   Sirajganj   road accident,"The deceased were identified as Monirul Islam Shaha, 36, Shakil Miah, 21, and Ashraful Islam, 31.Noor Nabi Pradhan, officer-in-charge (OC) of Hatikumrul Highway Police Station, confirmed the matter. The deceased-- residents of Natore's Gurudaspur upazila -- were oil traders and were returning home aboard a three-wheeler from Sirajganj along with several gallons of oil, said the OC. Around 9:00 pm a speeding vehicle hit them, leaving the trio dead on spot.Highway police rushed to the spot and recovered the bodies. The vehicle, however, managed to flee from the scene, the OC added.Further details regarding the incident could not be known immediately."
99,Truck driver killed in road accident,"Fire service and civil defense station (FSCD) officer of Jhenidah Sadar station said Akterul Islam  with his sand laden truck was marching towards Jashore from Jhenidah. When he arrived near Kharikhali, lost control over the steering and dashed with a road side tree. He died on the spot. FSCD men with the assistance of lacal people rescued the body.Jhenidah police station officer in charge (OC) Mijanur Rahman when contacted said they sent the body to Jhenidah Sadar Hospital morgue for post mortem examination. The police was preparing to file a case, OC said."
100,UZ Education Officer dies in road accident,"The deceased man was identified as Ashraf Hossain, 55, son of lawyer Nuruzzaman, resident of Sujanagar, Pabna. He was working as Lalpur Upazila Secondary Education Officer of Natore. He is survived by his wife, a son and a daughter.Lalpur Upazila Academic Supervisor Saad Ahmed Shibli said Education Officer Ashraf Hossain lived with his family in Dilalpur of Pabna. On his way to his workplace  Lalpur on Wednesday. A truck coming from the opposite direction hit his CNG at Dashuria Tetul Tala  in Ishwardi of Pabna. He was seriously injured in the accident. The locals first took him to Ishwardi Upazila Health Complex. Later, when his condition deteriorated, he was admitted to the Orthopedics Department of Pabna Sadar Hospital in critical condition. He died there at around 3 pm while undergoing treatment."
